Num,Coordinate_384w,Coordinate_96w,Identity,Number,Plate,Conc x Dil
289,A19,A10,JT_TM_5,1 cell,1,0.74
291,C19,B10,JT_TM_5,1 cell,1,0.71
293,E19,C10,JT_RG_1,1 cell,1,0.69
295,G19,D10,JT_RG_1,1 cell,1,0.7
297,I19,E10,JT_TM_6,1 cell,1,0.67
299,K19,F10,JT_TM_6,1 cell,1,0.68
301,M19,G10,JT_RG_2,1 cell,1,0.76
303,O19,H10,JT_RG_2,1 cell,1,1.06
321,A21,A11,JT_TM_5,1 cell,1,0.74
323,C21,B11,JT_TM_5,1 cell,1,0.7
325,E21,C11,JT_RG_1,1 cell,1,0.7
327,G21,D11,JT_RG_1,1 cell,1,0.67
329,I21,E11,JT_TM_6,1 cell,1,0.7
331,K21,F11,JT_TM_6,1 cell,1,0.68
333,M21,G11,JT_RG_2,1 cell,1,1.07
335,O21,H11,JT_RG_2,1 cell,1,1.71
353,A23,A12,JT_TM_5,1 cell,1,0.69
355,C23,B12,JT_TM_5,1 cell,1,0.68
357,E23,C12,JT_RG_1,1 cell,1,0.69
359,G23,D12,JT_RG_1,1 cell,1,0.65
361,I23,E12,JT_TM_6,1 cell,1,0.65
365,M23,G12,JT_RG_2,1 cell,1,0.52
367,O23,H12,JT_RG_2,1 cell,1,0.51
19,C2,B1,JT_TMT_1,1 cell,2,0.69
21,E2,C1,JT_TMT_1,1 cell,2,0.67
23,G2,D1,JT_TMT_1,1 cell,2,0.64
25,I2,E1,JT_TMT_2,1 cell,2,0.65
27,K2,F1,JT_TMT_2,1 cell,2,0.51
51,C4,B2,JT_TMT_1,1 cell,2,0.69
53,E4,C2,JT_TMT_1,1 cell,2,0.7
57,I4,E2,JT_TMT_2,1 cell,2,0.64
59,K4,F2,JT_TMT_2,1 cell,2,0.52
83,C6,B3,JT_TMT_1,1 cell,2,0.68
85,E6,C3,JT_TMT_1,1 cell,2,0.68
89,I6,E3,JT_TMT_2,1 cell,2,0.66
91,K6,F3,JT_TMT_2,1 cell,2,0.51
113,A8,A4,JT_TMT_1,1 cell,2,0.98
115,C8,B4,JT_TMT_1,1 cell,2,0.66
117,E8,C4,JT_TMT_1,1 cell,2,0.67
119,G8,D4,JT_TMT_2,1 cell,2,0.69
